global_rank,window_idx,window_score,window_pkt_idx
1,354,-965.4231567382812,354 355 356 357 358
2,394,-965.4232788085938,394 395 396 397 398
3,55,-965.42333984375,55 56 57 58 59
4,63,-965.42333984375,63 64 65 66 67
5,147,-965.4234008789062,147 148 149 150 151
6,358,-965.4234619140625,358 359 360 361 362
7,459,-965.4234619140625,459 460 461 462 463
8,401,-965.4234619140625,401 402 403 404 405
9,231,-965.4234619140625,231 232 233 234 235
10,146,-965.4234619140625,146 147 148 149 150
