anomaly_packet_idx,window_idx,window_score,global_percentile_approx,window_pkt_idx,rank_within_this_anomaly_packet
53,51,-965.424072265625,82.21476510067114,51 52 53 54 55,1
53,52,-965.4241943359375,77.3489932885906,52 53 54 55 56,2
53,53,-965.42431640625,71.30872483221476,53 54 55 56 57,3
53,50,-965.42431640625,71.30872483221476,50 51 52 53 54,4
53,49,-965.4249267578125,33.557046979865774,49 50 51 52 53,5
259,257,-965.4241943359375,77.3489932885906,257 258 259 260 261,1
259,259,-965.4244995117188,52.18120805369127,259 260 261 262 263,2
259,256,-965.4246215820312,48.322147651006716,256 257 258 259 260,3
259,258,-965.4248046875,36.40939597315436,258 259 260 261 262,4
259,255,-965.4249267578125,33.557046979865774,255 256 257 258 259,5
262,261,-965.4244384765625,57.38255033557047,261 262 263 264 265,1
262,260,-965.4244995117188,52.18120805369127,260 261 262 263 264,2
262,259,-965.4244995117188,52.18120805369127,259 260 261 262 263,3
262,262,-965.4246826171875,40.100671140939596,262 263 264 265 266,4
262,258,-965.4248046875,36.40939597315436,258 259 260 261 262,5
390,390,-965.4234619140625,99.16107382550335,390 391 392 393 394,1
390,389,-965.4238891601562,88.25503355704699,389 390 391 392 393,2
390,387,-965.4240112304688,84.8993288590604,387 388 389 390 391,3
390,388,-965.4241943359375,77.3489932885906,388 389 390 391 392,4
390,386,-965.4247436523438,38.758389261744966,386 387 388 389 390,5
461,459,-965.4234619140625,99.16107382550335,459 460 461 462 463,1
461,458,-965.424072265625,82.21476510067114,458 459 460 461 462,2
461,457,-965.4241943359375,77.3489932885906,457 458 459 460 461,3
461,460,-965.425537109375,15.771812080536913,460 461 462 463 464,4
461,461,-965.4256591796875,13.926174496644295,461 462 463 464 465,5
515,511,-965.4234619140625,99.16107382550335,511 512 513 514 515,1
515,515,-965.4237060546875,93.95973154362416,515 516 517 518 519,2
515,514,-965.4249267578125,33.557046979865774,514 515 516 517 518,3
515,512,-965.4251708984375,22.818791946308725,512 513 514 515 516,4
515,513,-965.4252319335938,20.469798657718123,513 514 515 516 517,5
