epoch,epoch_time_sec,vali_loss1,vali_loss2,learning_rate
1,13.53387451171875,0.0,0.0,0.0001
2,16.266863346099854,0.0,0.0,0.0001
3,14.609276533126831,0.0,0.0,5e-05
4,12.31575870513916,0.0,0.0,2.5e-05
5,13.536783695220947,0.0,0.0,1.25e-05
6,13.908238649368286,0.0,0.0,6.25e-06
7,15.207031726837158,0.0,0.0,3.125e-06
8,12.547828912734985,0.0,0.0,1.5625e-06
9,13.10213017463684,0.0,0.0,7.8125e-07
10,12.877948999404907,0.0,0.0,3.90625e-07
11,13.157118797302246,0.0,0.0,1.953125e-07
12,13.507192134857178,0.0,0.0,9.765625e-08
13,13.28537631034851,0.0,0.0,4.8828125e-08
14,14.26122236251831,0.0,0.0,2.44140625e-08
15,11.14028286933899,0.0,0.0,1.220703125e-08
16,12.76681900024414,0.0,0.0,6.103515625e-09
17,10.529495000839233,0.0,0.0,3.0517578125e-09
18,13.994706392288208,0.0,0.0,1.52587890625e-09
19,13.350407361984253,0.0,0.0,7.62939453125e-10
20,12.335988759994507,0.0,0.0,3.814697265625e-10
21,14.438750267028809,0.0,0.0,1.9073486328125e-10
22,12.36953330039978,0.0,0.0,9.5367431640625e-11
23,11.607320070266724,0.0,0.0,4.76837158203125e-11
24,14.299695014953613,0.0,0.0,2.384185791015625e-11
25,11.569506406784058,0.0,0.0,1.1920928955078126e-11
26,13.146166324615479,0.0,0.0,5.960464477539063e-12
27,15.176454782485962,0.0,0.0,2.9802322387695314e-12
28,11.307889223098755,0.0,0.0,1.4901161193847657e-12
29,13.766258239746094,0.0,0.0,7.450580596923828e-13
30,13.888295412063599,0.0,0.0,3.725290298461914e-13
31,11.846916675567627,0.0,0.0,1.862645149230957e-13
32,13.508742570877075,0.0,0.0,9.313225746154786e-14
33,12.78949522972107,0.0,0.0,4.656612873077393e-14
34,14.820355415344238,0.0,0.0,2.3283064365386964e-14
35,12.269187450408936,0.0,0.0,1.1641532182693482e-14
36,13.295478820800781,0.0,0.0,5.820766091346741e-15
37,13.745268821716309,0.0,0.0,2.9103830456733705e-15
38,12.121359586715698,0.0,0.0,1.4551915228366853e-15
39,17.481537342071533,0.0,0.0,7.275957614183426e-16
40,11.534888505935669,0.0,0.0,3.637978807091713e-16
