epoch,epoch_time_sec,vali_loss1,vali_loss2,learning_rate
1,12.686562538146973,0.0,0.0,0.0001
2,13.860491752624512,0.0,0.0,0.0001
3,15.798697471618652,0.0,0.0,5e-05
4,15.120434522628784,0.0,0.0,2.5e-05
5,13.517977714538574,0.0,0.0,1.25e-05
6,18.22561264038086,0.0,0.0,6.25e-06
7,13.298710107803345,0.0,0.0,3.125e-06
8,16.60572600364685,0.0,0.0,1.5625e-06
9,14.029117107391357,0.0,0.0,7.8125e-07
10,14.768255472183228,0.0,0.0,3.90625e-07
11,15.367559909820557,0.0,0.0,1.953125e-07
12,15.269349098205566,0.0,0.0,9.765625e-08
13,15.972119569778442,0.0,0.0,4.8828125e-08
14,15.337754011154175,0.0,0.0,2.44140625e-08
15,13.950457334518433,0.0,0.0,1.220703125e-08
16,16.4004225730896,0.0,0.0,6.103515625e-09
17,13.5364351272583,0.0,0.0,3.0517578125e-09
18,14.809192657470703,0.0,0.0,1.52587890625e-09
19,16.190708875656128,0.0,0.0,7.62939453125e-10
20,13.708295822143555,0.0,0.0,3.814697265625e-10
21,12.189472198486328,0.0,0.0,1.9073486328125e-10
22,14.831650733947754,0.0,0.0,9.5367431640625e-11
23,16.390389680862427,0.0,0.0,4.76837158203125e-11
24,16.07560682296753,0.0,0.0,2.384185791015625e-11
25,14.292126178741455,0.0,0.0,1.1920928955078126e-11
26,15.414764642715454,0.0,0.0,5.960464477539063e-12
27,14.241657257080078,0.0,0.0,2.9802322387695314e-12
28,19.910661935806274,0.0,0.0,1.4901161193847657e-12
29,14.21846628189087,0.0,0.0,7.450580596923828e-13
30,18.07677936553955,0.0,0.0,3.725290298461914e-13
