tns_index,epoch,length_tns,pkt_type,len_mode,frame_numbers,conn_id,direction,src_ip,src_port,dst_ip,dst_port,canon_a_ip,canon_a_port,canon_b_ip,canon_b_port,pdu_index_in_conn,delta_t_in_conn,conn_len,direction_num
2816,1742830305.653458,183,6,len4,425,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,290,8.0108642578125e-05,5474,0.0
2817,1742830305.659745,183,6,len4,427,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,292,7.390975952148438e-05,5474,0.0
2827,1742830305.7376919,183,6,len4,452,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,312,8.511543273925781e-05,5474,0.0
162,1742830305.7860289,436,6,len4,468,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,323,0.009083032608032228,5474,1.0
2844,1742830306.271808,961,6,len4,497,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,346,0.0003829002380371094,5474,0.0
175,1742830306.288795,684,6,len4,502,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,349,0.008744955062866211,5474,1.0
178,1742830306.3189561,151,6,len4,508,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,355,0.015344858169555662,5474,1.0
186,1742830306.349623,21,6,len4,527,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,371,9.202957153320312e-05,5474,1.0
2857,1742830306.349645,321,6,len4,528,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,372,2.193450927734375e-05,5474,0.0
2858,1742830306.3498142,311,6,len4,530,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,374,2.694129943847656e-05,5474,0.0
2862,1742830306.350409,378,6,len4,538,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,382,2.09808349609375e-05,5474,0.0
2866,1742830306.351138,381,6,len4,546,10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,390,2.1219253540039066e-05,5474,0.0
202,1742830306.402272,175,6,len4,565,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,403,0.009686946868896484,5474,1.0
207,1742830306.438641,664,6,len4,575,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,413,0.010252952575683594,5474,1.0
209,1742830306.454587,151,6,len4,579,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,417,0.0072939395904541016,5474,1.0
211,1742830306.4771118,716,6,len4,584,10.116.192.4:1527<->10.116.55.127:55036,rev,10.116.55.127,55036,10.116.192.4,1527,10.116.192.4,1527,10.116.55.127,55036,421,0.010215997695922852,5474,1.0
2883,1742830307.0428731,1754,6,len4,"593,594",10.116.192.4:1527<->10.116.55.127:55036,fwd,10.116.192.4,1527,10.116.55.127,55036,10.116.192.4,1527,10.116.55.127,55036,424,0.0012660026550292967,5474,0.0
