anomaly_packet_idx,window_idx,window_score,global_percentile_approx,window_pkt_idx,rank_within_this_anomaly_packet
53,50,0.20032955706119537,65.60402684563759,50 51 52 53 54,1
53,52,0.2003173828125,61.91275167785235,52 53 54 55 56,2
53,49,0.20019777119159698,32.21476510067114,49 50 51 52 53,3
53,51,0.20018789172172546,26.006711409395972,51 52 53 54 55,4
53,53,0.20017823576927185,22.651006711409398,53 54 55 56 57,5
259,256,0.20024169981479645,45.13422818791946,256 257 258 259 260,1
259,257,0.20014894008636475,12.080536912751679,257 258 259 260 261,2
259,259,0.20014651119709015,11.74496644295302,259 260 261 262 263,3
259,258,0.2001439929008484,9.060402684563758,258 259 260 261 262,4
259,255,0.20009277760982513,1.5100671140939599,255 256 257 258 259,5
262,260,0.20020011067390442,32.38255033557047,260 261 262 263 264,1
262,262,0.20019039511680603,28.02013422818792,262 263 264 265 266,2
262,261,0.2001635879278183,17.449664429530202,261 262 263 264 265,3
262,259,0.20014651119709015,11.74496644295302,259 260 261 262 263,4
262,258,0.2001439929008484,9.060402684563758,258 259 260 261 262,5
390,389,0.20032238960266113,63.92617449664429,389 390 391 392 393,1
390,388,0.20029772818088531,58.89261744966443,388 389 390 391 392,2
390,387,0.20029547810554504,58.55704697986577,387 388 389 390 391,3
390,386,0.20015864074230194,14.76510067114094,386 387 388 389 390,4
390,390,0.20015622675418854,14.429530201342283,390 391 392 393 394,5
461,459,0.20033706724643707,67.61744966442953,459 460 461 462 463,1
461,461,0.2002587616443634,49.328859060402685,461 462 463 464 465,2
461,460,0.20021487772464752,38.25503355704698,460 461 462 463 464,3
461,458,0.20020754635334015,35.23489932885906,458 459 460 461 462,4
461,457,0.2001928985118866,29.53020134228188,457 458 459 460 461,5
515,514,0.20036137104034424,72.31543624161074,514 515 516 517 518,1
515,512,0.2002660036087036,50.83892617449665,512 513 514 515 516,2
515,515,0.20021721720695496,38.758389261744966,515 516 517 518 519,3
515,513,0.20021235942840576,36.40939597315436,513 514 515 516 517,4
515,511,0.20019768178462982,31.543624161073826,511 512 513 514 515,5
