global_rank,window_idx,window_score,window_pkt_idx
1,123,0.2009798288345337,123 124 125 126 127
2,420,0.2008918672800064,420 421 422 423 424
3,10,0.20088478922843933,10 11 12 13 14
4,12,0.20085500180721283,12 13 14 15 16
5,31,0.2008451521396637,31 32 33 34 35
6,17,0.20080730319023132,17 18 19 20 21
7,352,0.20080344378948212,352 353 354 355 356
8,550,0.20080319046974182,550 551 552 553 554
9,6,0.20078909397125244,6 7 8 9 10
10,497,0.2007811963558197,497 498 499 500 501
