global_rank,window_idx,window_score,window_pkt_idx
1,516,0.20000001788139343,516 517 518 519 520
2,230,0.20000001788139343,230 231 232 233 234
3,110,0.20000001788139343,110 111 112 113 114
4,237,0.20000001788139343,237 238 239 240 241
5,384,0.20000001788139343,384 385 386 387 388
6,382,0.20000001788139343,382 383 384 385 386
7,381,0.20000001788139343,381 382 383 384 385
8,508,0.20000001788139343,508 509 510 511 512
9,92,0.20000001788139343,92 93 94 95 96
10,515,0.20000001788139343,515 516 517 518 519
