anomaly_packet_idx,window_idx,window_score,global_percentile_approx,window_pkt_idx,rank_within_this_anomaly_packet
53,53,0.20000001788139343,100.0,53 54 55 56 57,1
53,51,0.20000000298023224,88.42281879194631,51 52 53 54 55,2
53,50,0.20000000298023224,88.42281879194631,50 51 52 53 54,3
53,49,0.20000000298023224,88.42281879194631,49 50 51 52 53,4
53,52,0.19999998807907104,19.966442953020135,52 53 54 55 56,5
259,258,0.20000001788139343,100.0,258 259 260 261 262,1
259,259,0.20000000298023224,88.42281879194631,259 260 261 262 263,2
259,257,0.20000000298023224,88.42281879194631,257 258 259 260 261,3
259,256,0.20000000298023224,88.42281879194631,256 257 258 259 260,4
259,255,0.20000000298023224,88.42281879194631,255 256 257 258 259,5
262,258,0.20000001788139343,100.0,258 259 260 261 262,1
262,261,0.20000000298023224,88.42281879194631,261 262 263 264 265,2
262,260,0.20000000298023224,88.42281879194631,260 261 262 263 264,3
262,259,0.20000000298023224,88.42281879194631,259 260 261 262 263,4
262,262,0.19999997317790985,5.033557046979865,262 263 264 265 266,5
390,390,0.20000000298023224,88.42281879194631,390 391 392 393 394,1
390,389,0.20000000298023224,88.42281879194631,389 390 391 392 393,2
390,388,0.20000000298023224,88.42281879194631,388 389 390 391 392,3
390,386,0.19999998807907104,19.966442953020135,386 387 388 389 390,4
390,387,0.19999997317790985,5.033557046979865,387 388 389 390 391,5
461,461,0.20000000298023224,88.42281879194631,461 462 463 464 465,1
461,459,0.20000000298023224,88.42281879194631,459 460 461 462 463,2
461,457,0.20000000298023224,88.42281879194631,457 458 459 460 461,3
461,458,0.19999998807907104,19.966442953020135,458 459 460 461 462,4
461,460,0.19999997317790985,5.033557046979865,460 461 462 463 464,5
515,515,0.20000001788139343,100.0,515 516 517 518 519,1
515,514,0.20000000298023224,88.42281879194631,514 515 516 517 518,2
515,513,0.20000000298023224,88.42281879194631,513 514 515 516 517,3
515,512,0.20000000298023224,88.42281879194631,512 513 514 515 516,4
515,511,0.20000000298023224,88.42281879194631,511 512 513 514 515,5
