rank_within_anomaly_packets,anomaly_packet_idx,packet_score,global_percentile_approx,covered_by_windows
1,53,-965.4265502929687,64.33333333333333,5
2,259,-965.4282958984375,11.0,5
3,262,-965.4267700195312,52.5,5
4,390,-965.424853515625,100.0,5
5,461,-965.4277465820312,26.666666666666668,5
6,515,-965.4261474609375,81.16666666666667,5
