global_rank,packet_idx,packet_score
1,390,-965.424853515625
2,52,-965.4250122070313
3,215,-965.4250854492187
4,598,-965.4251098632812
5,373,-965.4251586914063
6,520,-965.4251708984375
7,370,-965.4251953125
8,211,-965.425244140625
9,566,-965.425244140625
10,584,-965.4252807617188
