epoch,epoch_time_sec,vali_loss1,vali_loss2,learning_rate
1,13.375382661819458,0.0,0.0,0.0001
2,13.46288013458252,0.0,0.0,0.0001
3,15.348300457000732,0.0,0.0,5e-05
4,11.908236503601074,0.0,0.0,2.5e-05
5,15.030723094940186,0.0,0.0,1.25e-05
6,12.313143491744995,0.0,0.0,6.25e-06
7,11.453676223754883,0.0,0.0,3.125e-06
8,13.07958436012268,0.0,0.0,1.5625e-06
9,12.53784465789795,0.0,0.0,7.8125e-07
10,13.60050892829895,0.0,0.0,3.90625e-07
11,13.083447694778442,0.0,0.0,1.953125e-07
12,16.830607414245605,0.0,0.0,9.765625e-08
13,12.259894847869873,0.0,0.0,4.8828125e-08
14,12.33780574798584,0.0,0.0,2.44140625e-08
15,13.904808282852173,0.0,0.0,1.220703125e-08
16,11.329726934432983,0.0,0.0,6.103515625e-09
17,13.584807395935059,0.0,0.0,3.0517578125e-09
18,12.217442512512207,0.0,0.0,1.52587890625e-09
19,11.226107597351074,0.0,0.0,7.62939453125e-10
20,11.198418617248535,0.0,0.0,3.814697265625e-10
21,13.209258317947388,0.0,0.0,1.9073486328125e-10
22,12.547056436538696,0.0,0.0,9.5367431640625e-11
23,13.473768711090088,0.0,0.0,4.76837158203125e-11
24,12.096786975860596,0.0,0.0,2.384185791015625e-11
25,13.260379076004028,0.0,0.0,1.1920928955078126e-11
26,13.67501449584961,0.0,0.0,5.960464477539063e-12
27,12.880271673202515,0.0,0.0,2.9802322387695314e-12
28,10.800899267196655,0.0,0.0,1.4901161193847657e-12
29,13.15717887878418,0.0,0.0,7.450580596923828e-13
30,13.078406810760498,0.0,0.0,3.725290298461914e-13
