epoch,epoch_time_sec,vali_loss1,vali_loss2,learning_rate
1,16.512390613555908,0.0,0.0,0.0001
2,17.915807962417603,0.0,0.0,0.0001
3,15.926135301589966,0.0,0.0,5e-05
4,16.336894512176514,0.0,0.0,2.5e-05
5,15.189269304275513,0.0,0.0,1.25e-05
6,18.28851890563965,0.0,0.0,6.25e-06
7,17.731951236724854,0.0,0.0,3.125e-06
8,18.242589950561523,0.0,0.0,1.5625e-06
9,17.008978366851807,0.0,0.0,7.8125e-07
10,18.430171728134155,0.0,0.0,3.90625e-07
11,15.117252349853516,0.0,0.0,1.953125e-07
12,16.09223437309265,0.0,0.0,9.765625e-08
13,16.397894144058228,0.0,0.0,4.8828125e-08
14,15.336588144302368,0.0,0.0,2.44140625e-08
15,17.85334849357605,0.0,0.0,1.220703125e-08
16,13.223833560943604,0.0,0.0,6.103515625e-09
17,14.351534605026245,0.0,0.0,3.0517578125e-09
18,16.205188035964966,0.0,0.0,1.52587890625e-09
19,14.224430799484253,0.0,0.0,7.62939453125e-10
20,14.921821117401123,0.0,0.0,3.814697265625e-10
21,15.107280731201172,0.0,0.0,1.9073486328125e-10
22,16.078243255615234,0.0,0.0,9.5367431640625e-11
23,17.40696120262146,0.0,0.0,4.76837158203125e-11
24,15.430516481399536,0.0,0.0,2.384185791015625e-11
25,17.227271795272827,0.0,0.0,1.1920928955078126e-11
26,16.93341851234436,0.0,0.0,5.960464477539063e-12
27,14.665045499801636,0.0,0.0,2.9802322387695314e-12
28,15.45132327079773,0.0,0.0,1.4901161193847657e-12
29,18.373944759368896,0.0,0.0,7.450580596923828e-13
30,19.1136257648468,0.0,0.0,3.725290298461914e-13
31,15.635766506195068,0.0,0.0,1.862645149230957e-13
32,13.141919374465942,0.0,0.0,9.313225746154786e-14
33,18.96566605567932,0.0,0.0,4.656612873077393e-14
34,16.168910026550293,0.0,0.0,2.3283064365386964e-14
35,18.228147506713867,0.0,0.0,1.1641532182693482e-14
36,14.46496319770813,0.0,0.0,5.820766091346741e-15
37,15.379212617874146,0.0,0.0,2.9103830456733705e-15
38,14.723264932632446,0.0,0.0,1.4551915228366853e-15
39,16.41720461845398,0.0,0.0,7.275957614183426e-16
40,15.71427869796753,0.0,0.0,3.637978807091713e-16
