global_rank,window_idx,window_score,window_pkt_idx
1,394,-965.4236450195312,394 395 396 397 398
2,354,-965.4239501953125,354 355 356 357 358
3,146,-965.4239501953125,146 147 148 149 150
4,499,-965.4240112304688,499 500 501 502 503
5,192,-965.4241943359375,192 193 194 195 196
6,396,-965.4241943359375,396 397 398 399 400
7,393,-965.4241943359375,393 394 395 396 397
8,147,-965.4241943359375,147 148 149 150 151
9,400,-965.4241943359375,400 401 402 403 404
10,208,-965.4241943359375,208 209 210 211 212
