anomaly_packet_idx,window_idx,window_score,global_percentile_approx,window_pkt_idx,rank_within_this_anomaly_packet
53,51,-965.4249877929688,91.2751677852349,51 52 53 54 55,1
53,53,-965.4251708984375,81.3758389261745,53 54 55 56 57,2
53,52,-965.42578125,53.85906040268457,52 53 54 55 56,3
53,50,-965.4259643554688,46.97986577181208,50 51 52 53 54,4
53,49,-965.4259643554688,46.97986577181208,49 50 51 52 53,5
259,257,-965.4249877929688,91.2751677852349,257 258 259 260 261,1
259,259,-965.4251708984375,81.3758389261745,259 260 261 262 263,2
259,255,-965.4254150390625,73.8255033557047,255 256 257 258 259,3
259,258,-965.4255981445312,63.25503355704698,258 259 260 261 262,4
259,256,-965.42578125,53.85906040268457,256 257 258 259 260,5
262,261,-965.4251708984375,81.3758389261745,261 262 263 264 265,1
262,259,-965.4251708984375,81.3758389261745,259 260 261 262 263,2
262,260,-965.4254760742188,68.95973154362416,260 261 262 263 264,3
262,258,-965.4255981445312,63.25503355704698,258 259 260 261 262,4
262,262,-965.4256591796875,58.89261744966443,262 263 264 265 266,5
390,390,-965.4241943359375,99.32885906040269,390 391 392 393 394,1
390,389,-965.4254760742188,68.95973154362416,389 390 391 392 393,2
390,387,-965.4254760742188,68.95973154362416,387 388 389 390 391,3
390,386,-965.4255981445312,63.25503355704698,386 387 388 389 390,4
390,388,-965.4256591796875,58.89261744966443,388 389 390 391 392,5
461,459,-965.4251098632812,87.24832214765101,459 460 461 462 463,1
461,458,-965.4251098632812,87.24832214765101,458 459 460 461 462,2
461,457,-965.4251708984375,81.3758389261745,457 458 459 460 461,3
461,460,-965.4265747070312,32.04697986577181,460 461 462 463 464,4
461,461,-965.4269409179688,25.16778523489933,461 462 463 464 465,5
515,511,-965.4244384765625,97.6510067114094,511 512 513 514 515,1
515,515,-965.4248046875,95.30201342281879,515 516 517 518 519,2
515,513,-965.42626953125,38.758389261744966,513 514 515 516 517,3
515,512,-965.4265747070312,32.04697986577181,512 513 514 515 516,4
515,514,-965.4267578125,28.523489932885905,514 515 516 517 518,5
