epoch,epoch_time_sec,vali_loss1,vali_loss2,learning_rate
1,15.834465742111206,0.0,0.0,0.0001
2,12.932316064834595,0.0,0.0,0.0001
3,13.314702987670898,0.0,0.0,5e-05
4,12.930623769760132,0.0,0.0,2.5e-05
5,12.442956686019897,0.0,0.0,1.25e-05
6,12.627038955688477,0.0,0.0,6.25e-06
7,14.820462465286255,0.0,0.0,3.125e-06
8,12.848467588424683,0.0,0.0,1.5625e-06
9,12.927087306976318,0.0,0.0,7.8125e-07
10,13.056613445281982,0.0,0.0,3.90625e-07
11,12.105365991592407,0.0,0.0,1.953125e-07
12,13.28052806854248,0.0,0.0,9.765625e-08
13,12.394687414169312,0.0,0.0,4.8828125e-08
14,14.032023191452026,0.0,0.0,2.44140625e-08
15,12.930535793304443,0.0,0.0,1.220703125e-08
16,14.574224472045898,0.0,0.0,6.103515625e-09
17,12.916751384735107,0.0,0.0,3.0517578125e-09
18,13.734585762023926,0.0,0.0,1.52587890625e-09
19,13.524474859237671,0.0,0.0,7.62939453125e-10
20,13.919678211212158,0.0,0.0,3.814697265625e-10
21,11.486801147460938,0.0,0.0,1.9073486328125e-10
22,12.014446020126343,0.0,0.0,9.5367431640625e-11
23,11.766082763671875,0.0,0.0,4.76837158203125e-11
24,13.091393947601318,0.0,0.0,2.384185791015625e-11
25,13.665792226791382,0.0,0.0,1.1920928955078126e-11
26,13.275319576263428,0.0,0.0,5.960464477539063e-12
27,12.788645267486572,0.0,0.0,2.9802322387695314e-12
28,13.914073705673218,0.0,0.0,1.4901161193847657e-12
29,12.881179571151733,0.0,0.0,7.450580596923828e-13
30,11.213118314743042,0.0,0.0,3.725290298461914e-13
31,12.161442756652832,0.0,0.0,1.862645149230957e-13
32,10.781834363937378,0.0,0.0,9.313225746154786e-14
33,13.988624811172485,0.0,0.0,4.656612873077393e-14
34,15.468669176101685,0.0,0.0,2.3283064365386964e-14
35,10.177325248718262,0.0,0.0,1.1641532182693482e-14
36,12.458544731140137,0.0,0.0,5.820766091346741e-15
37,12.424182891845703,0.0,0.0,2.9103830456733705e-15
38,14.445016145706177,0.0,0.0,1.4551915228366853e-15
39,11.343053817749023,0.0,0.0,7.275957614183426e-16
40,12.02352523803711,0.0,0.0,3.637978807091713e-16
