global_rank,window_idx,window_score,window_pkt_idx
1,149,-1197.643798828125,149 150 151 152 153 154 155 156 157 158
2,416,-1246.29052734375,416 417 418 419 420 421 422 423 424 425
3,420,-1258.1640625,420 421 422 423 424 425 426 427 428 429
4,421,-1284.446044921875,421 422 423 424 425 426 427 428 429 430
5,415,-1324.3399658203125,415 416 417 418 419 420 421 422 423 424
6,414,-1330.945068359375,414 415 416 417 418 419 420 421 422 423
7,442,-1342.1231689453125,442 443 444 445 446 447 448 449 450 451
8,462,-1342.7471923828125,462 463 464 465 466 467 468 469 470 471
9,461,-1344.197998046875,461 462 463 464 465 466 467 468 469 470
10,460,-1348.2210693359375,460 461 462 463 464 465 466 467 468 469
