anomaly_packet_idx,window_idx,window_score,global_percentile_approx,window_pkt_idx,rank_within_this_anomaly_packet
53,44,-1431.7913818359375,82.57191201353638,44 45 46 47 48 49 50 51 52 53,1
53,45,-1436.002197265625,76.81895093062606,45 46 47 48 49 50 51 52 53 54,2
53,50,-1437.275146484375,72.08121827411168,50 51 52 53 54 55 56 57 58 59,3
53,53,-1437.34375,70.55837563451777,53 54 55 56 57 58 59 60 61 62,4
53,46,-1437.38720703125,67.68189509306261,46 47 48 49 50 51 52 53 54 55,5
53,49,-1437.47216796875,62.77495769881557,49 50 51 52 53 54 55 56 57 58,6
53,48,-1437.4888916015625,60.575296108291035,48 49 50 51 52 53 54 55 56 57,7
53,47,-1437.539794921875,56.0067681895093,47 48 49 50 51 52 53 54 55 56,8
53,51,-1437.921875,41.455160744500844,51 52 53 54 55 56 57 58 59 60,9
53,52,-1438.64501953125,12.351945854483926,52 53 54 55 56 57 58 59 60 61,10
259,254,-1408.4183349609375,96.27749576988155,254 255 256 257 258 259 260 261 262 263,1
259,256,-1411.0123291015625,95.60067681895093,256 257 258 259 260 261 262 263 264 265,2
259,258,-1411.966796875,95.26226734348562,258 259 260 261 262 263 264 265 266 267,3
259,252,-1418.9765625,93.4010152284264,252 253 254 255 256 257 258 259 260 261,4
259,250,-1420.443359375,92.2165820642978,250 251 252 253 254 255 256 257 258 259,5
259,255,-1423.8033447265625,90.01692047377327,255 256 257 258 259 260 261 262 263 264,6
259,257,-1424.9920654296875,88.83248730964468,257 258 259 260 261 262 263 264 265 266,7
259,259,-1426.2076416015625,88.15566835871405,259 260 261 262 263 264 265 266 267 268,8
259,253,-1429.94091796875,85.44839255499154,253 254 255 256 257 258 259 260 261 262,9
259,251,-1429.9820556640625,85.27918781725889,251 252 253 254 255 256 257 258 259 260,10
262,254,-1408.4183349609375,96.27749576988155,254 255 256 257 258 259 260 261 262 263,1
262,256,-1411.0123291015625,95.60067681895093,256 257 258 259 260 261 262 263 264 265,2
262,258,-1411.966796875,95.26226734348562,258 259 260 261 262 263 264 265 266 267,3
262,260,-1414.97900390625,94.75465313028765,260 261 262 263 264 265 266 267 268 269,4
262,262,-1415.23974609375,94.585448392555,262 263 264 265 266 267 268 269 270 271,5
262,255,-1423.8033447265625,90.01692047377327,255 256 257 258 259 260 261 262 263 264,6
262,257,-1424.9920654296875,88.83248730964468,257 258 259 260 261 262 263 264 265 266,7
262,259,-1426.2076416015625,88.15566835871405,259 260 261 262 263 264 265 266 267 268,8
262,261,-1426.748046875,87.64805414551607,261 262 263 264 265 266 267 268 269 270,9
262,253,-1429.94091796875,85.44839255499154,253 254 255 256 257 258 259 260 261 262,10
390,388,-1386.6568603515625,97.80033840947546,388 389 390 391 392 393 394 395 396 397,1
390,389,-1436.0386962890625,76.6497461928934,389 390 391 392 393 394 395 396 397 398,2
390,385,-1436.3011474609375,75.97292724196278,385 386 387 388 389 390 391 392 393 394,3
390,384,-1436.97900390625,74.95769881556683,384 385 386 387 388 389 390 391 392 393,4
390,390,-1437.1895751953125,73.09644670050761,390 391 392 393 394 395 396 397 398 399,5
390,383,-1437.949951171875,40.4399323181049,383 384 385 386 387 388 389 390 391 392,6
390,382,-1437.953125,40.10152284263959,382 383 384 385 386 387 388 389 390 391,7
390,381,-1438.153076171875,30.456852791878177,381 382 383 384 385 386 387 388 389 390,8
390,386,-1438.2139892578125,27.749576988155667,386 387 388 389 390 391 392 393 394 395,9
390,387,-1438.3551025390625,21.31979695431472,387 388 389 390 391 392 393 394 395 396,10
461,461,-1344.197998046875,98.64636209813875,461 462 463 464 465 466 467 468 469 470,1
461,460,-1348.2210693359375,98.47715736040608,460 461 462 463 464 465 466 467 468 469,2
461,458,-1395.2802734375,97.29272419627749,458 459 460 461 462 463 464 465 466 467,3
461,459,-1418.97119140625,93.57021996615906,459 460 461 462 463 464 465 466 467 468,4
461,457,-1434.384521484375,78.68020304568529,457 458 459 460 461 462 463 464 465 466,5
461,452,-1437.4892578125,60.40609137055838,452 453 454 455 456 457 458 459 460 461,6
461,453,-1437.56005859375,55.16074450084603,453 454 455 456 457 458 459 460 461 462,7
461,454,-1438.056640625,34.51776649746193,454 455 456 457 458 459 460 461 462 463,8
461,455,-1438.3614501953125,20.642978003384094,455 456 457 458 459 460 461 462 463 464,9
461,456,-1438.3636474609375,20.304568527918782,456 457 458 459 460 461 462 463 464 465,10
515,514,-1437.649658203125,52.115059221658214,514 515 516 517 518 519 520 521 522 523,1
515,509,-1437.713134765625,50.25380710659898,509 510 511 512 513 514 515 516 517 518,2
515,513,-1437.7144775390625,50.08460236886633,513 514 515 516 517 518 519 520 521 522,3
515,506,-1437.7330322265625,48.90016920473773,506 507 508 509 510 511 512 513 514 515,4
515,507,-1437.79296875,45.68527918781726,507 508 509 510 511 512 513 514 515 516,5
515,512,-1437.912841796875,41.793570219966156,512 513 514 515 516 517 518 519 520 521,6
515,515,-1437.96142578125,38.578680203045685,515 516 517 518 519 520 521 522 523 524,7
515,508,-1438.2481689453125,25.380710659898476,508 509 510 511 512 513 514 515 516 517,8
515,510,-1438.5087890625,15.059221658206429,510 511 512 513 514 515 516 517 518 519,9
515,511,-1438.5269775390625,14.382402707275805,511 512 513 514 515 516 517 518 519 520,10
