global_rank,window_idx,window_score,window_pkt_idx
1,408,-965.42333984375,408 409 410 411 412
2,477,-965.42333984375,477 478 479 480 481
3,67,-965.4234619140625,67 68 69 70 71
4,433,-965.4234619140625,433 434 435 436 437
5,68,-965.4234619140625,68 69 70 71 72
6,535,-965.4234619140625,535 536 537 538 539
7,457,-965.4234619140625,457 458 459 460 461
8,547,-965.4234619140625,547 548 549 550 551
9,427,-965.4234619140625,427 428 429 430 431
10,222,-965.4234619140625,222 223 224 225 226
